text,label_india_relevance,label_sector,label_attack_type
"In 2017 in Russia, a Man-in-the-Middle attack targeted Healthcare by Hacker Group via Unpatched Software causing $13.04M loss affecting 850158 users (resolved in 67 hours)",0,Other,Exploit
"In 2015 in India, a DDoS attack targeted IT by Insider via Social Engineering causing $93.14M loss affecting 805278 users (resolved in 56 hours)",1,Other,Other
"In 2019 in UK, a Malware attack targeted Telecommunications by Insider via Social Engineering causing $14.01M loss affecting 578443 users (resolved in 28 hours)",0,Telecom,Malware
"In 2016 in India, a DDoS attack targeted IT by Nation-state via Social Engineering causing $36.45M loss affecting 261808 users (resolved in 6 hours)",1,Other,Other
"In 2015 in Brazil, a Ransomware attack targeted Retail by Hacker Group via Weak Passwords causing $49.55M loss affecting 920172 users (resolved in 43 hours)",0,Other,Ransomware
"In 2023 in France, a Ransomware attack targeted Education by Insider via Social Engineering causing $17.72M loss affecting 261661 users (resolved in 11 hours)",0,Other,Ransomware
"In 2017 in India, a DDoS attack targeted Government by Nation-state via Unpatched Software causing $76.71M loss affecting 246205 users (resolved in 30 hours)",1,Govt,Other
"In 2022 in Japan, a Phishing attack targeted Telecommunications by Nation-state via Weak Passwords causing $20.42M loss affecting 186148 users (resolved in 32 hours)",0,Telecom,Phishing
"In 2023 in Brazil, a DDoS attack targeted Telecommunications by Hacker Group via Social Engineering causing $51.84M loss affecting 699007 users (resolved in 30 hours)",0,Telecom,Other
"In 2021 in China, a Phishing attack targeted Retail by Insider via Zero-day causing $51.06M loss affecting 628562 users (resolved in 52 hours)",0,Other,Phishing
"In 2022 in Japan, a Malware attack targeted Education by Nation-state via Unpatched Software causing $53.04M loss affecting 570494 users (resolved in 53 hours)",0,Other,Malware
"In 2022 in Japan, a Ransomware attack targeted Banking by Insider via Unpatched Software causing $26.17M loss affecting 937653 users (resolved in 24 hours)",0,BFSI,Ransomware
"In 2020 in France, a Malware attack targeted IT by Unknown via Social Engineering causing $87.32M loss affecting 599757 users (resolved in 9 hours)",0,Other,Malware
"In 2015 in Australia, a DDoS attack targeted Government by Hacker Group via Zero-day causing $82.7M loss affecting 904805 users (resolved in 61 hours)",0,Govt,Other
"In 2022 in UK, a SQL Injection attack targeted Education by Hacker Group via Social Engineering causing $66.24M loss affecting 678876 users (resolved in 11 hours)",0,Other,Other
"In 2020 in France, a Malware attack targeted Telecommunications by Hacker Group via Zero-day causing $18.38M loss affecting 246900 users (resolved in 34 hours)",0,Telecom,Malware
"In 2015 in India, a SQL Injection attack targeted IT by Unknown via Unpatched Software causing $42.99M loss affecting 85255 users (resolved in 61 hours)",1,Other,Other
"In 2022 in Japan, a Phishing attack targeted Banking by Nation-state via Zero-day causing $98.47M loss affecting 972469 users (resolved in 21 hours)",0,BFSI,Phishing
"In 2023 in Brazil, a Phishing attack targeted Healthcare by Nation-state via Weak Passwords causing $14.51M loss affecting 113777 users (resolved in 27 hours)",0,Other,Phishing
"In 2020 in Brazil, a Phishing attack targeted Banking by Hacker Group via Zero-day causing $17.75M loss affecting 739540 users (resolved in 31 hours)",0,BFSI,Phishing
"In 2020 in China, a Man-in-the-Middle attack targeted Education by Nation-state via Zero-day causing $19.81M loss affecting 722788 users (resolved in 70 hours)",0,Other,Exploit
"In 2021 in Japan, a SQL Injection attack targeted Retail by Insider via Unpatched Software causing $82.52M loss affecting 214372 users (resolved in 12 hours)",0,Other,Other
"In 2022 in USA, a DDoS attack targeted Retail by Insider via Weak Passwords causing $32.53M loss affecting 235314 users (resolved in 62 hours)",0,Other,Other
"In 2016 in Brazil, a DDoS attack targeted Education by Nation-state via Unpatched Software causing $96.98M loss affecting 140812 users (resolved in 71 hours)",0,Other,Other
"In 2015 in Russia, a DDoS attack targeted Telecommunications by Unknown via Zero-day causing $96.39M loss affecting 238356 users (resolved in 3 hours)",0,Telecom,Other
"In 2021 in India, a SQL Injection attack targeted IT by Nation-state via Zero-day causing $98.09M loss affecting 826976 users (resolved in 57 hours)",1,Other,Other
"In 2019 in UK, a Man-in-the-Middle attack targeted Retail by Nation-state via Unpatched Software causing $39.77M loss affecting 757694 users (resolved in 69 hours)",0,Other,Exploit
"In 2017 in USA, a DDoS attack targeted IT by Hacker Group via Zero-day causing $74.12M loss affecting 403108 users (resolved in 64 hours)",0,Other,Other
"In 2020 in Australia, a DDoS attack targeted Banking by Insider via Weak Passwords causing $92.95M loss affecting 942890 users (resolved in 19 hours)",0,BFSI,Other
"In 2022 in France, a Malware attack targeted Healthcare by Unknown via Weak Passwords causing $20.33M loss affecting 794906 users (resolved in 36 hours)",0,Other,Malware
"In 2016 in Australia, a SQL Injection attack targeted Government by Hacker Group via Unpatched Software causing $27.33M loss affecting 481293 users (resolved in 65 hours)",0,Govt,Other
"In 2016 in India, a DDoS attack targeted Education by Hacker Group via Unpatched Software causing $21.01M loss affecting 602692 users (resolved in 29 hours)",1,Other,Other
"In 2018 in UK, a Man-in-the-Middle attack targeted Retail by Hacker Group via Zero-day causing $13.66M loss affecting 455529 users (resolved in 40 hours)",0,Other,Exploit
"In 2017 in Japan, a Phishing attack targeted Telecommunications by Hacker Group via Zero-day causing $75.84M loss affecting 383395 users (resolved in 31 hours)",0,Telecom,Phishing
"In 2023 in USA, a DDoS attack targeted Retail by Hacker Group via Zero-day causing $59.69M loss affecting 113612 users (resolved in 70 hours)",0,Other,Other
"In 2019 in Australia, a Malware attack targeted Government by Insider via Unpatched Software causing $21.72M loss affecting 984411 users (resolved in 17 hours)",0,Govt,Malware
"In 2015 in UK, a Phishing attack targeted IT by Hacker Group via Weak Passwords causing $85.58M loss affecting 17229 users (resolved in 30 hours)",0,Other,Phishing
"In 2018 in France, a Phishing attack targeted Healthcare by Insider via Social Engineering causing $75.11M loss affecting 581303 users (resolved in 51 hours)",0,Other,Phishing
"In 2019 in India, a Man-in-the-Middle attack targeted Education by Nation-state via Zero-day causing $10.8M loss affecting 799474 users (resolved in 23 hours)",1,Other,Exploit
"In 2020 in India, a DDoS attack targeted Banking by Nation-state via Unpatched Software causing $86.27M loss affecting 898655 users (resolved in 10 hours)",1,BFSI,Other
"In 2021 in UK, a Malware attack targeted Healthcare by Unknown via Weak Passwords causing $67.1M loss affecting 698852 users (resolved in 57 hours)",0,Other,Malware
"In 2018 in India, a DDoS attack targeted Healthcare by Hacker Group via Unpatched Software causing $76.43M loss affecting 304162 users (resolved in 56 hours)",1,Other,Other
"In 2015 in Brazil, a Phishing attack targeted Banking by Hacker Group via Social Engineering causing $43.4M loss affecting 191625 users (resolved in 65 hours)",0,BFSI,Phishing
"In 2024 in Australia, a Phishing attack targeted Education by Unknown via Unpatched Software causing $93.32M loss affecting 93185 users (resolved in 14 hours)",0,Other,Phishing
"In 2019 in India, a Phishing attack targeted Healthcare by Nation-state via Zero-day causing $35.6M loss affecting 40718 users (resolved in 24 hours)",1,Other,Phishing
"In 2015 in China, a Phishing attack targeted Government by Nation-state via Zero-day causing $42.73M loss affecting 310574 users (resolved in 65 hours)",0,Govt,Phishing
"In 2024 in India, a DDoS attack targeted Education by Nation-state via Social Engineering causing $73.37M loss affecting 475719 users (resolved in 52 hours)",1,Other,Other
"In 2018 in UK, a Malware attack targeted Retail by Unknown via Weak Passwords causing $73.18M loss affecting 404060 users (resolved in 32 hours)",0,Other,Malware
"In 2024 in China, a Malware attack targeted Education by Hacker Group via Zero-day causing $72.35M loss affecting 132726 users (resolved in 55 hours)",0,Other,Malware
"In 2016 in UK, a DDoS attack targeted Banking by Nation-state via Social Engineering causing $87.68M loss affecting 336376 users (resolved in 11 hours)",0,BFSI,Other
"In 2022 in Australia, a Malware attack targeted Healthcare by Unknown via Weak Passwords causing $67.16M loss affecting 566437 users (resolved in 63 hours)",0,Other,Malware
"In 2017 in Russia, a Man-in-the-Middle attack targeted Education by Nation-state via Weak Passwords causing $83.43M loss affecting 313631 users (resolved in 16 hours)",0,Other,Exploit
"In 2016 in France, a DDoS attack targeted Banking by Unknown via Zero-day causing $28.66M loss affecting 996004 users (resolved in 28 hours)",0,BFSI,Other
"In 2021 in China, a Phishing attack targeted Healthcare by Insider via Unpatched Software causing $55.04M loss affecting 871600 users (resolved in 29 hours)",0,Other,Phishing
"In 2015 in Brazil, a DDoS attack targeted IT by Unknown via Weak Passwords causing $43.51M loss affecting 940656 users (resolved in 41 hours)",0,Other,Other
"In 2015 in USA, a Ransomware attack targeted Telecommunications by Nation-state via Social Engineering causing $20.73M loss affecting 297209 users (resolved in 66 hours)",0,Telecom,Ransomware
"In 2019 in UK, a Phishing attack targeted IT by Insider via Unpatched Software causing $78.19M loss affecting 28321 users (resolved in 63 hours)",0,Other,Phishing
"In 2022 in Brazil, a Phishing attack targeted Telecommunications by Nation-state via Zero-day causing $29.02M loss affecting 456783 users (resolved in 10 hours)",0,Telecom,Phishing
"In 2018 in Germany, a Ransomware attack targeted Banking by Nation-state via Unpatched Software causing $87.56M loss affecting 933028 users (resolved in 25 hours)",0,BFSI,Ransomware
"In 2023 in Australia, a Phishing attack targeted Telecommunications by Nation-state via Zero-day causing $24.65M loss affecting 221512 users (resolved in 56 hours)",0,Telecom,Phishing
"In 2017 in France, a Phishing attack targeted Banking by Hacker Group via Unpatched Software causing $17.88M loss affecting 16585 users (resolved in 12 hours)",0,BFSI,Phishing
"In 2022 in USA, a Ransomware attack targeted Education by Nation-state via Weak Passwords causing $21.01M loss affecting 787752 users (resolved in 9 hours)",0,Other,Ransomware
"In 2022 in Russia, a SQL Injection attack targeted Banking by Unknown via Social Engineering causing $60.25M loss affecting 662517 users (resolved in 40 hours)",0,BFSI,Other
"In 2018 in Brazil, a Malware attack targeted Education by Hacker Group via Zero-day causing $6.63M loss affecting 274509 users (resolved in 20 hours)",0,Other,Malware
"In 2024 in France, a Phishing attack targeted Government by Hacker Group via Unpatched Software causing $5.8M loss affecting 508649 users (resolved in 66 hours)",0,Govt,Phishing
"In 2021 in Brazil, a DDoS attack targeted IT by Unknown via Weak Passwords causing $70.26M loss affecting 740257 users (resolved in 70 hours)",0,Other,Other
"In 2024 in Australia, a Malware attack targeted Healthcare by Hacker Group via Social Engineering causing $62.08M loss affecting 969504 users (resolved in 5 hours)",0,Other,Malware
"In 2016 in Germany, a Man-in-the-Middle attack targeted Healthcare by Nation-state via Social Engineering causing $90.2M loss affecting 779494 users (resolved in 54 hours)",0,Other,Exploit
"In 2019 in Japan, a Malware attack targeted Banking by Insider via Weak Passwords causing $44.17M loss affecting 605166 users (resolved in 27 hours)",0,BFSI,Malware
"In 2023 in France, a Malware attack targeted Government by Insider via Zero-day causing $55.18M loss affecting 274946 users (resolved in 66 hours)",0,Govt,Malware
"In 2019 in Japan, a Man-in-the-Middle attack targeted Banking by Nation-state via Zero-day causing $41.32M loss affecting 645097 users (resolved in 36 hours)",0,BFSI,Exploit
"In 2015 in UK, a DDoS attack targeted Telecommunications by Nation-state via Unpatched Software causing $32.92M loss affecting 157678 users (resolved in 68 hours)",0,Telecom,Other
"In 2022 in Brazil, a DDoS attack targeted Retail by Nation-state via Social Engineering causing $15.16M loss affecting 157034 users (resolved in 69 hours)",0,Other,Other
"In 2020 in India, a SQL Injection attack targeted Education by Nation-state via Weak Passwords causing $62.5M loss affecting 550656 users (resolved in 4 hours)",1,Other,Other
"In 2017 in Australia, a SQL Injection attack targeted Healthcare by Hacker Group via Unpatched Software causing $68.91M loss affecting 634048 users (resolved in 66 hours)",0,Other,Other
"In 2023 in UK, a DDoS attack targeted Banking by Nation-state via Weak Passwords causing $81.26M loss affecting 547495 users (resolved in 3 hours)",0,BFSI,Other
"In 2024 in UK, a DDoS attack targeted Healthcare by Hacker Group via Weak Passwords causing $58.31M loss affecting 487694 users (resolved in 41 hours)",0,Other,Other
"In 2023 in France, a Man-in-the-Middle attack targeted Retail by Hacker Group via Unpatched Software causing $88.65M loss affecting 427067 users (resolved in 42 hours)",0,Other,Exploit
"In 2023 in Australia, a Malware attack targeted Telecommunications by Hacker Group via Unpatched Software causing $1.51M loss affecting 954902 users (resolved in 55 hours)",0,Telecom,Malware
"In 2020 in UK, a Ransomware attack targeted Banking by Nation-state via Weak Passwords causing $49.23M loss affecting 128594 users (resolved in 53 hours)",0,BFSI,Ransomware
"In 2024 in Germany, a Phishing attack targeted Healthcare by Nation-state via Social Engineering causing $84.53M loss affecting 189430 users (resolved in 1 hours)",0,Other,Phishing
"In 2021 in France, a DDoS attack targeted Healthcare by Nation-state via Unpatched Software causing $90.63M loss affecting 603327 users (resolved in 15 hours)",0,Other,Other
"In 2021 in UK, a DDoS attack targeted Education by Nation-state via Social Engineering causing $80.26M loss affecting 276593 users (resolved in 36 hours)",0,Other,Other
"In 2023 in Japan, a Malware attack targeted Education by Insider via Unpatched Software causing $22.87M loss affecting 975282 users (resolved in 49 hours)",0,Other,Malware
"In 2018 in India, a Ransomware attack targeted Retail by Hacker Group via Unpatched Software causing $23.79M loss affecting 486810 users (resolved in 11 hours)",1,Other,Ransomware
"In 2021 in Japan, a Ransomware attack targeted IT by Hacker Group via Weak Passwords causing $35.43M loss affecting 969517 users (resolved in 25 hours)",0,Other,Ransomware
"In 2022 in Australia, a Malware attack targeted Banking by Insider via Zero-day causing $74.77M loss affecting 151599 users (resolved in 18 hours)",0,BFSI,Malware
"In 2022 in Japan, a SQL Injection attack targeted IT by Unknown via Social Engineering causing $66.66M loss affecting 749545 users (resolved in 30 hours)",0,Other,Other
"In 2015 in Brazil, a Malware attack targeted Retail by Hacker Group via Unpatched Software causing $78.13M loss affecting 71743 users (resolved in 35 hours)",0,Other,Malware
"In 2018 in Germany, a Phishing attack targeted Banking by Hacker Group via Weak Passwords causing $11.39M loss affecting 969684 users (resolved in 41 hours)",0,BFSI,Phishing
"In 2020 in Germany, a SQL Injection attack targeted Education by Unknown via Weak Passwords causing $87.84M loss affecting 842506 users (resolved in 19 hours)",0,Other,Other
"In 2023 in Brazil, a Man-in-the-Middle attack targeted IT by Nation-state via Social Engineering causing $10.18M loss affecting 933883 users (resolved in 41 hours)",0,Other,Exploit
"In 2019 in UK, a Malware attack targeted Education by Nation-state via Unpatched Software causing $4.42M loss affecting 393748 users (resolved in 10 hours)",0,Other,Malware
"In 2020 in Brazil, a DDoS attack targeted Banking by Unknown via Weak Passwords causing $76.98M loss affecting 708549 users (resolved in 37 hours)",0,BFSI,Other
"In 2020 in Japan, a DDoS attack targeted Healthcare by Unknown via Zero-day causing $73.24M loss affecting 136762 users (resolved in 41 hours)",0,Other,Other
"In 2018 in Russia, a Malware attack targeted Telecommunications by Unknown via Social Engineering causing $8.11M loss affecting 737958 users (resolved in 35 hours)",0,Telecom,Malware
"In 2020 in Japan, a Man-in-the-Middle attack targeted Banking by Insider via Unpatched Software causing $23.55M loss affecting 108886 users (resolved in 51 hours)",0,BFSI,Exploit
"In 2016 in Australia, a Phishing attack targeted Banking by Nation-state via Unpatched Software causing $92.79M loss affecting 285311 users (resolved in 55 hours)",0,BFSI,Phishing
"In 2021 in USA, a Malware attack targeted Retail by Hacker Group via Unpatched Software causing $71.11M loss affecting 961868 users (resolved in 57 hours)",0,Other,Malware
"In 2023 in Australia, a Man-in-the-Middle attack targeted Banking by Unknown via Zero-day causing $57.34M loss affecting 471743 users (resolved in 29 hours)",0,BFSI,Exploit
"In 2024 in UK, a Phishing attack targeted Government by Unknown via Weak Passwords causing $81.26M loss affecting 993903 users (resolved in 25 hours)",0,Govt,Phishing
"In 2024 in China, a Ransomware attack targeted Telecommunications by Nation-state via Social Engineering causing $7.32M loss affecting 179156 users (resolved in 34 hours)",0,Telecom,Ransomware
"In 2022 in Germany, a Man-in-the-Middle attack targeted Healthcare by Nation-state via Unpatched Software causing $56.27M loss affecting 699129 users (resolved in 25 hours)",0,Other,Exploit
"In 2021 in Russia, a Malware attack targeted IT by Insider via Social Engineering causing $83.76M loss affecting 920983 users (resolved in 24 hours)",0,Other,Malware
"In 2023 in UK, a SQL Injection attack targeted Banking by Nation-state via Unpatched Software causing $85.64M loss affecting 875790 users (resolved in 36 hours)",0,BFSI,Other
"In 2016 in Russia, a Malware attack targeted Retail by Hacker Group via Weak Passwords causing $61.39M loss affecting 415274 users (resolved in 40 hours)",0,Other,Malware
"In 2023 in Russia, a Ransomware attack targeted Banking by Hacker Group via Social Engineering causing $42.14M loss affecting 222293 users (resolved in 38 hours)",0,BFSI,Ransomware
"In 2021 in France, a Man-in-the-Middle attack targeted Retail by Unknown via Unpatched Software causing $94.4M loss affecting 357092 users (resolved in 71 hours)",0,Other,Exploit
"In 2021 in Australia, a Malware attack targeted Telecommunications by Hacker Group via Zero-day causing $84.68M loss affecting 708291 users (resolved in 54 hours)",0,Telecom,Malware
"In 2024 in Russia, a Malware attack targeted Banking by Nation-state via Social Engineering causing $93.33M loss affecting 517610 users (resolved in 35 hours)",0,BFSI,Malware
"In 2023 in Germany, a Malware attack targeted Government by Hacker Group via Unpatched Software causing $70.46M loss affecting 368803 users (resolved in 23 hours)",0,Govt,Malware
"In 2023 in China, a Man-in-the-Middle attack targeted Healthcare by Nation-state via Unpatched Software causing $48.71M loss affecting 421191 users (resolved in 62 hours)",0,Other,Exploit
"In 2018 in India, a Phishing attack targeted IT by Hacker Group via Unpatched Software causing $69.03M loss affecting 282139 users (resolved in 37 hours)",1,Other,Phishing
"In 2018 in China, a Malware attack targeted IT by Insider via Social Engineering causing $49.19M loss affecting 117543 users (resolved in 22 hours)",0,Other,Malware
"In 2016 in France, a Phishing attack targeted Government by Unknown via Zero-day causing $27.2M loss affecting 536925 users (resolved in 62 hours)",0,Govt,Phishing
"In 2023 in France, a Ransomware attack targeted Retail by Unknown via Unpatched Software causing $64.08M loss affecting 238068 users (resolved in 61 hours)",0,Other,Ransomware
"In 2022 in Japan, a Malware attack targeted Telecommunications by Insider via Social Engineering causing $38.46M loss affecting 39814 users (resolved in 32 hours)",0,Telecom,Malware
"In 2018 in India, a DDoS attack targeted Government by Nation-state via Zero-day causing $80.89M loss affecting 268956 users (resolved in 47 hours)",1,Govt,Other
"In 2015 in France, a Malware attack targeted Education by Nation-state via Unpatched Software causing $15.76M loss affecting 424 users (resolved in 58 hours)",0,Other,Malware
"In 2021 in USA, a SQL Injection attack targeted Telecommunications by Unknown via Unpatched Software causing $82.24M loss affecting 982969 users (resolved in 64 hours)",0,Telecom,Other
"In 2021 in Germany, a Malware attack targeted Government by Nation-state via Social Engineering causing $82.72M loss affecting 219703 users (resolved in 33 hours)",0,Govt,Malware
"In 2016 in Japan, a Man-in-the-Middle attack targeted Retail by Nation-state via Unpatched Software causing $18.96M loss affecting 530947 users (resolved in 12 hours)",0,Other,Exploit
"In 2017 in UK, a SQL Injection attack targeted IT by Insider via Unpatched Software causing $53.39M loss affecting 576110 users (resolved in 37 hours)",0,Other,Other
"In 2017 in UK, a Man-in-the-Middle attack targeted Government by Unknown via Zero-day causing $48.9M loss affecting 177154 users (resolved in 68 hours)",0,Govt,Exploit
"In 2017 in France, a SQL Injection attack targeted Healthcare by Hacker Group via Social Engineering causing $60.77M loss affecting 212177 users (resolved in 2 hours)",0,Other,Other
"In 2021 in Germany, a DDoS attack targeted Banking by Hacker Group via Unpatched Software causing $91.24M loss affecting 8787 users (resolved in 55 hours)",0,BFSI,Other
"In 2015 in USA, a Phishing attack targeted Education by Insider via Social Engineering causing $41.36M loss affecting 291727 users (resolved in 31 hours)",0,Other,Phishing
"In 2022 in Germany, a DDoS attack targeted IT by Hacker Group via Social Engineering causing $78.18M loss affecting 987652 users (resolved in 72 hours)",0,Other,Other
"In 2022 in China, a Ransomware attack targeted Telecommunications by Unknown via Social Engineering causing $16.16M loss affecting 236284 users (resolved in 38 hours)",0,Telecom,Ransomware
"In 2020 in USA, a Man-in-the-Middle attack targeted Telecommunications by Nation-state via Zero-day causing $15.63M loss affecting 209853 users (resolved in 1 hours)",0,Telecom,Exploit
"In 2020 in Australia, a DDoS attack targeted Retail by Unknown via Zero-day causing $36.29M loss affecting 755621 users (resolved in 50 hours)",0,Other,Other
"In 2015 in France, a SQL Injection attack targeted Retail by Insider via Unpatched Software causing $61.41M loss affecting 694844 users (resolved in 43 hours)",0,Other,Other
"In 2018 in France, a SQL Injection attack targeted Retail by Nation-state via Unpatched Software causing $53.72M loss affecting 795831 users (resolved in 61 hours)",0,Other,Other
"In 2020 in Brazil, a DDoS attack targeted Retail by Unknown via Weak Passwords causing $17.4M loss affecting 342253 users (resolved in 22 hours)",0,Other,Other
"In 2016 in USA, a Phishing attack targeted Retail by Nation-state via Weak Passwords causing $75.94M loss affecting 638693 users (resolved in 35 hours)",0,Other,Phishing
"In 2018 in USA, a Phishing attack targeted Banking by Insider via Zero-day causing $55.9M loss affecting 618616 users (resolved in 51 hours)",0,BFSI,Phishing
"In 2023 in Brazil, a SQL Injection attack targeted Retail by Hacker Group via Social Engineering causing $56.76M loss affecting 774426 users (resolved in 21 hours)",0,Other,Other
"In 2023 in Australia, a DDoS attack targeted Government by Insider via Unpatched Software causing $76.25M loss affecting 900661 users (resolved in 64 hours)",0,Govt,Other
"In 2019 in India, a Phishing attack targeted Telecommunications by Insider via Unpatched Software causing $75.23M loss affecting 141627 users (resolved in 64 hours)",1,Telecom,Phishing
"In 2024 in Germany, a Phishing attack targeted IT by Unknown via Unpatched Software causing $3.93M loss affecting 845785 users (resolved in 69 hours)",0,Other,Phishing
"In 2015 in Australia, a Malware attack targeted Retail by Insider via Zero-day causing $99.41M loss affecting 120048 users (resolved in 12 hours)",0,Other,Malware
"In 2016 in USA, a Malware attack targeted Retail by Unknown via Social Engineering causing $32.89M loss affecting 894935 users (resolved in 31 hours)",0,Other,Malware
"In 2017 in Japan, a SQL Injection attack targeted Healthcare by Unknown via Social Engineering causing $21.66M loss affecting 277555 users (resolved in 45 hours)",0,Other,Other
"In 2024 in Australia, a Ransomware attack targeted Education by Insider via Unpatched Software causing $85.86M loss affecting 461012 users (resolved in 38 hours)",0,Other,Ransomware
"In 2021 in Russia, a SQL Injection attack targeted Telecommunications by Nation-state via Social Engineering causing $80.23M loss affecting 599291 users (resolved in 55 hours)",0,Telecom,Other
"In 2016 in Australia, a Man-in-the-Middle attack targeted Government by Hacker Group via Unpatched Software causing $31.92M loss affecting 163602 users (resolved in 26 hours)",0,Govt,Exploit
"In 2021 in UK, a SQL Injection attack targeted Government by Nation-state via Weak Passwords causing $39.03M loss affecting 986196 users (resolved in 11 hours)",0,Govt,Other
"In 2024 in France, a Ransomware attack targeted Retail by Nation-state via Zero-day causing $99.03M loss affecting 349008 users (resolved in 20 hours)",0,Other,Ransomware
"In 2022 in Germany, a SQL Injection attack targeted Retail by Unknown via Zero-day causing $25.1M loss affecting 559667 users (resolved in 69 hours)",0,Other,Other
"In 2018 in Russia, a DDoS attack targeted Healthcare by Hacker Group via Weak Passwords causing $67.27M loss affecting 335628 users (resolved in 20 hours)",0,Other,Other
"In 2016 in Germany, a Ransomware attack targeted Education by Unknown via Unpatched Software causing $29.89M loss affecting 385363 users (resolved in 22 hours)",0,Other,Ransomware
"In 2021 in USA, a Man-in-the-Middle attack targeted Education by Insider via Zero-day causing $15.92M loss affecting 945793 users (resolved in 32 hours)",0,Other,Exploit
"In 2016 in Russia, a SQL Injection attack targeted Telecommunications by Nation-state via Social Engineering causing $95.93M loss affecting 595950 users (resolved in 11 hours)",0,Telecom,Other
"In 2022 in Japan, a DDoS attack targeted Education by Nation-state via Weak Passwords causing $12.61M loss affecting 756722 users (resolved in 15 hours)",0,Other,Other
"In 2024 in Australia, a Ransomware attack targeted Government by Hacker Group via Social Engineering causing $39.92M loss affecting 594424 users (resolved in 54 hours)",0,Govt,Ransomware
"In 2015 in China, a Malware attack targeted Retail by Hacker Group via Zero-day causing $19.36M loss affecting 457790 users (resolved in 39 hours)",0,Other,Malware
"In 2024 in China, a Ransomware attack targeted Telecommunications by Unknown via Social Engineering causing $70.47M loss affecting 549337 users (resolved in 63 hours)",0,Telecom,Ransomware
"In 2023 in France, a Malware attack targeted Healthcare by Unknown via Unpatched Software causing $53.34M loss affecting 714681 users (resolved in 34 hours)",0,Other,Malware
"In 2022 in India, a Malware attack targeted Government by Hacker Group via Social Engineering causing $84.15M loss affecting 849745 users (resolved in 51 hours)",1,Govt,Malware
"In 2019 in Brazil, a SQL Injection attack targeted Banking by Nation-state via Zero-day causing $27.64M loss affecting 826256 users (resolved in 50 hours)",0,BFSI,Other
"In 2017 in UK, a DDoS attack targeted IT by Unknown via Zero-day causing $9.01M loss affecting 617543 users (resolved in 43 hours)",0,Other,Other
"In 2017 in USA, a SQL Injection attack targeted Banking by Unknown via Social Engineering causing $9.08M loss affecting 895507 users (resolved in 52 hours)",0,BFSI,Other
"In 2020 in UK, a SQL Injection attack targeted Healthcare by Unknown via Social Engineering causing $67.9M loss affecting 2233 users (resolved in 45 hours)",0,Other,Other
"In 2022 in Japan, a Phishing attack targeted Government by Unknown via Unpatched Software causing $71.12M loss affecting 76776 users (resolved in 42 hours)",0,Govt,Phishing
"In 2019 in China, a Ransomware attack targeted Retail by Nation-state via Zero-day causing $6.08M loss affecting 175261 users (resolved in 64 hours)",0,Other,Ransomware
"In 2016 in Australia, a Man-in-the-Middle attack targeted Healthcare by Insider via Unpatched Software causing $90.85M loss affecting 746369 users (resolved in 30 hours)",0,Other,Exploit
